PageNumber,PageCount,ResultCount,ResultDateTime
1,1,2939,2019-09-06T14:45:52.6099797-06:00
abbrev,parameter,measDateTime,measValue,measUnit,flagA,flagB,modified
PLAKERCO,DISCHRG,2019-08-07T00:00:00.0000000,341,cfs,O,,2019-08-07T00:39:38.8570000
PLAKERCO,DISCHRG,2019-08-07T00:15:00.0000000,337,cfs,O,,2019-08-07T00:39:38.8570000
PLAKERCO,DISCHRG,2019-08-07T00:30:00.0000000,341,cfs,O,,2019-08-07T00:39:38.8570000
PLAKERCO,DISCHRG,2019-08-07T00:45:00.0000000,341,cfs,O,,2019-08-07T01:39:43.5000000
PLAKERCO,DISCHRG,2019-08-07T01:00:00.0000000,341,cfs,O,,2019-08-07T01:39:43.5000000
PLAKERCO,DISCHRG,2019-08-07T01:15:00.0000000,349,cfs,O,,2019-08-07T01:39:43.5130000
PLAKERCO,DISCHRG,2019-08-07T01:30:00.0000000,341,cfs,O,,2019-08-07T01:39:43.5130000
PLAKERCO,DISCHRG,2019-08-07T01:45:00.0000000,349,cfs,O,,2019-08-07T02:39:45.0070000
PLAKERCO,DISCHRG,2019-08-07T02:00:00.0000000,356,cfs,O,,2019-08-07T02:39:45.0070000
PLAKERCO,DISCHRG,2019-08-07T02:15:00.0000000,360,cfs,O,,2019-08-07T02:39:45.0070000
PLAKERCO,DISCHRG,2019-08-07T02:30:00.0000000,360,cfs,O,,2019-08-07T02:39:45.0070000
PLAKERCO,DISCHRG,2019-08-07T02:45:00.0000000,364,cfs,O,,2019-08-07T03:40:06.4030000
PLAKERCO,DISCHRG,2019-08-07T03:00:00.0000000,360,cfs,O,,2019-08-07T03:40:06.4200000
PLAKERCO,DISCHRG,2019-08-07T03:15:00.0000000,368,cfs,O,,2019-08-07T03:40:06.4200000
PLAKERCO,DISCHRG,2019-08-07T03:30:00.0000000,368,cfs,O,,2019-08-07T03:40:06.4200000
PLAKERCO,DISCHRG,2019-08-07T03:45:00.0000000,368,cfs,O,,2019-08-07T04:40:07.9900000
PLAKERCO,DISCHRG,2019-08-07T04:00:00.0000000,372,cfs,O,,2019-08-07T04:40:08.0100000
PLAKERCO,DISCHRG,2019-08-07T04:15:00.0000000,368,cfs,O,,2019-08-07T04:40:08.0100000
PLAKERCO,DISCHRG,2019-08-07T04:30:00.0000000,372,cfs,O,,2019-08-07T04:40:08.0100000
PLAKERCO,DISCHRG,2019-08-07T04:45:00.0000000,368,cfs,O,,2019-08-07T05:39:29.4230000
PLAKERCO,DISCHRG,2019-08-07T05:00:00.0000000,372,cfs,O,,2019-08-07T05:39:29.4230000
PLAKERCO,DISCHRG,2019-08-07T05:15:00.0000000,364,cfs,O,,2019-08-07T05:39:29.4230000
PLAKERCO,DISCHRG,2019-08-07T05:30:00.0000000,372,cfs,O,,2019-08-07T05:39:29.4370000
PLAKERCO,DISCHRG,2019-08-07T05:45:00.0000000,372,cfs,O,,2019-08-07T06:39:50.8630000
PLAKERCO,DISCHRG,2019-08-07T06:00:00.0000000,372,cfs,O,,2019-08-07T06:39:50.8630000
PLAKERCO,DISCHRG,2019-08-07T06:15:00.0000000,372,cfs,O,,2019-08-07T06:39:50.8630000
PLAKERCO,DISCHRG,2019-08-07T06:30:00.0000000,368,cfs,O,,2019-08-07T06:39:50.8630000
PLAKERCO,DISCHRG,2019-08-07T06:45:00.0000000,372,cfs,O,,2019-08-07T07:39:52.2070000
PLAKERCO,DISCHRG,2019-08-07T07:00:00.0000000,364,cfs,O,,2019-08-07T07:39:52.2070000
PLAKERCO,DISCHRG,2019-08-07T07:15:00.0000000,364,cfs,O,,2019-08-07T07:39:52.2070000
PLAKERCO,DISCHRG,2019-08-07T07:30:00.0000000,360,cfs,O,,2019-08-07T07:39:52.2200000
PLAKERCO,DISCHRG,2019-08-07T07:45:00.0000000,360,cfs,O,,2019-08-07T08:39:53.5670000
PLAKERCO,DISCHRG,2019-08-07T08:00:00.0000000,360,cfs,O,,2019-08-07T08:39:53.5800000
PLAKERCO,DISCHRG,2019-08-07T08:15:00.0000000,360,cfs,O,,2019-08-07T08:39:53.5800000
PLAKERCO,DISCHRG,2019-08-07T08:30:00.0000000,360,cfs,O,,2019-08-07T08:39:53.5800000
PLAKERCO,DISCHRG,2019-08-07T08:45:00.0000000,360,cfs,O,,2019-08-07T09:39:55.0100000
PLAKERCO,DISCHRG,2019-08-07T09:00:00.0000000,356,cfs,O,,2019-08-07T09:39:55.0100000
PLAKERCO,DISCHRG,2019-08-07T09:15:00.0000000,356,cfs,O,,2019-08-07T09:39:55.0230000
PLAKERCO,DISCHRG,2019-08-07T09:30:00.0000000,364,cfs,O,,2019-08-07T09:39:55.0230000
PLAKERCO,DISCHRG,2019-08-07T09:45:00.0000000,356,cfs,O,,2019-08-07T10:39:56.3700000
PLAKERCO,DISCHRG,2019-08-07T10:00:00.0000000,364,cfs,O,,2019-08-07T10:39:56.3700000
PLAKERCO,DISCHRG,2019-08-07T10:15:00.0000000,360,cfs,O,,2019-08-07T10:39:56.3700000
PLAKERCO,DISCHRG,2019-08-07T10:30:00.0000000,356,cfs,O,,2019-08-07T10:39:56.3870000
PLAKERCO,DISCHRG,2019-08-07T10:45:00.0000000,356,cfs,O,,2019-08-07T11:39:37.7470000
PLAKERCO,DISCHRG,2019-08-07T11:00:00.0000000,353,cfs,O,,2019-08-07T11:39:37.7470000
PLAKERCO,DISCHRG,2019-08-07T11:15:00.0000000,356,cfs,O,,2019-08-07T11:39:37.7470000
PLAKERCO,DISCHRG,2019-08-07T11:30:00.0000000,353,cfs,O,,2019-08-07T11:39:37.7470000
PLAKERCO,DISCHRG,2019-08-07T11:45:00.0000000,349,cfs,O,,2019-08-07T12:39:39.1100000
PLAKERCO,DISCHRG,2019-08-07T12:00:00.0000000,349,cfs,O,,2019-08-07T12:39:39.1230000
PLAKERCO,DISCHRG,2019-08-07T12:15:00.0000000,345,cfs,O,,2019-08-07T12:39:39.1270000
PLAKERCO,DISCHRG,2019-08-07T12:30:00.0000000,345,cfs,O,,2019-08-07T12:39:39.1270000
PLAKERCO,DISCHRG,2019-08-07T12:45:00.0000000,341,cfs,O,,2019-08-07T13:39:40.5970000
PLAKERCO,DISCHRG,2019-08-07T13:00:00.0000000,345,cfs,O,,2019-08-07T13:39:40.6100000
PLAKERCO,DISCHRG,2019-08-07T13:15:00.0000000,334,cfs,O,,2019-08-07T13:39:40.6100000
PLAKERCO,DISCHRG,2019-08-07T13:30:00.0000000,341,cfs,O,,2019-08-07T13:39:40.6100000
PLAKERCO,DISCHRG,2019-08-07T13:45:00.0000000,337,cfs,O,,2019-08-07T14:39:42.2070000
PLAKERCO,DISCHRG,2019-08-07T14:00:00.0000000,341,cfs,O,,2019-08-07T14:39:42.2070000
PLAKERCO,DISCHRG,2019-08-07T14:15:00.0000000,337,cfs,O,,2019-08-07T14:39:42.2070000
PLAKERCO,DISCHRG,2019-08-07T14:30:00.0000000,326,cfs,O,,2019-08-07T14:39:42.2070000
PLAKERCO,DISCHRG,2019-08-07T14:45:00.0000000,330,cfs,O,,2019-08-07T15:40:03.6670000
PLAKERCO,DISCHRG,2019-08-07T15:00:00.0000000,322,cfs,O,,2019-08-07T15:40:03.6670000
PLAKERCO,DISCHRG,2019-08-07T15:15:00.0000000,326,cfs,O,,2019-08-07T15:40:03.6670000
PLAKERCO,DISCHRG,2019-08-07T15:30:00.0000000,326,cfs,O,,2019-08-07T15:40:03.6800000
PLAKERCO,DISCHRG,2019-08-07T15:45:00.0000000,326,cfs,O,,2019-08-07T16:40:05.1100000
PLAKERCO,DISCHRG,2019-08-07T16:00:00.0000000,322,cfs,O,,2019-08-07T16:40:05.1270000
PLAKERCO,DISCHRG,2019-08-07T16:15:00.0000000,319,cfs,O,,2019-08-07T16:40:05.1270000
PLAKERCO,DISCHRG,2019-08-07T16:30:00.0000000,326,cfs,O,,2019-08-07T16:40:05.1270000
PLAKERCO,DISCHRG,2019-08-07T16:45:00.0000000,319,cfs,O,,2019-08-07T17:39:26.5170000
PLAKERCO,DISCHRG,2019-08-07T17:00:00.0000000,326,cfs,O,,2019-08-07T17:39:26.5170000
PLAKERCO,DISCHRG,2019-08-07T17:15:00.0000000,322,cfs,O,,2019-08-07T17:39:26.5170000
PLAKERCO,DISCHRG,2019-08-07T17:30:00.0000000,330,cfs,O,,2019-08-07T17:39:26.5170000
PLAKERCO,DISCHRG,2019-08-07T17:45:00.0000000,326,cfs,O,,2019-08-07T18:39:47.9000000
PLAKERCO,DISCHRG,2019-08-07T18:00:00.0000000,326,cfs,O,,2019-08-07T18:39:47.9000000
PLAKERCO,DISCHRG,2019-08-07T18:15:00.0000000,322,cfs,O,,2019-08-07T18:39:47.9170000
PLAKERCO,DISCHRG,2019-08-07T18:30:00.0000000,322,cfs,O,,2019-08-07T18:39:47.9170000
PLAKERCO,DISCHRG,2019-08-07T18:45:00.0000000,326,cfs,O,,2019-08-07T19:39:49.2530000
PLAKERCO,DISCHRG,2019-08-07T19:00:00.0000000,319,cfs,O,,2019-08-07T19:39:49.2530000
PLAKERCO,DISCHRG,2019-08-07T19:15:00.0000000,322,cfs,O,,2019-08-07T19:39:49.2530000
PLAKERCO,DISCHRG,2019-08-07T19:30:00.0000000,322,cfs,O,,2019-08-07T19:39:49.2530000
PLAKERCO,DISCHRG,2019-08-07T19:45:00.0000000,315,cfs,O,,2019-08-07T20:39:51.1870000
PLAKERCO,DISCHRG,2019-08-07T20:00:00.0000000,322,cfs,O,,2019-08-07T20:39:51.2030000
PLAKERCO,DISCHRG,2019-08-07T20:15:00.0000000,322,cfs,O,,2019-08-07T20:39:51.2200000
PLAKERCO,DISCHRG,2019-08-07T20:30:00.0000000,315,cfs,O,,2019-08-07T20:39:51.2500000
PLAKERCO,DISCHRG,2019-08-07T20:45:00.0000000,319,cfs,O,,2019-08-07T21:39:52.2170000
PLAKERCO,DISCHRG,2019-08-07T21:00:00.0000000,315,cfs,O,,2019-08-07T21:39:52.2170000
PLAKERCO,DISCHRG,2019-08-07T21:15:00.0000000,312,cfs,O,,2019-08-07T21:39:52.2170000
PLAKERCO,DISCHRG,2019-08-07T21:30:00.0000000,308,cfs,O,,2019-08-07T21:39:52.2170000
PLAKERCO,DISCHRG,2019-08-07T21:45:00.0000000,312,cfs,O,,2019-08-07T22:39:53.5570000
PLAKERCO,DISCHRG,2019-08-07T22:00:00.0000000,312,cfs,O,,2019-08-07T22:39:53.5570000
PLAKERCO,DISCHRG,2019-08-07T22:15:00.0000000,315,cfs,O,,2019-08-07T22:39:53.5570000
PLAKERCO,DISCHRG,2019-08-07T22:30:00.0000000,319,cfs,O,,2019-08-07T22:39:53.5570000
PLAKERCO,DISCHRG,2019-08-07T22:45:00.0000000,319,cfs,O,,2019-08-07T23:39:55.2800000
PLAKERCO,DISCHRG,2019-08-07T23:00:00.0000000,319,cfs,O,,2019-08-07T23:39:55.2800000
PLAKERCO,DISCHRG,2019-08-07T23:15:00.0000000,322,cfs,O,,2019-08-07T23:39:55.2800000
PLAKERCO,DISCHRG,2019-08-07T23:30:00.0000000,322,cfs,O,,2019-08-07T23:39:55.2800000
PLAKERCO,DISCHRG,2019-08-07T23:45:00.0000000,322,cfs,O,,2019-08-08T00:39:36.7530000
PLAKERCO,DISCHRG,2019-08-08T00:00:00.0000000,319,cfs,O,,2019-08-08T00:39:36.7530000
PLAKERCO,DISCHRG,2019-08-08T00:15:00.0000000,326,cfs,O,,2019-08-08T00:39:36.7530000
